date,region,product,sales,profit
2024-02-11,광주,A,870,148
2024-02-11,부산,C,176,163
2024-02-12,광주,D,146,141
2024-02-13,광주,C,790,165
2024-02-13,인천,B,299,56
2024-02-13,서울,C,144,13
2024-02-13,부산,C,263,191
2024-02-13,부산,D,717,83
2024-02-13,부산,D,123,36
2024-02-14,서울,C,386,168
2024-02-14,인천,C,604,83
2024-02-14,광주,B,560,135
2024-02-15,서울,C,605,31
2024-02-16,서울,D,646,149
2024-02-16,부산,D,773,180
2024-02-16,인천,A,146,63
2024-02-17,부산,B,438,151
2024-02-17,인천,B,608,105
2024-02-17,인천,C,434,152
2024-02-17,인천,B,867,47
2024-02-18,인천,D,945,68
2024-02-18,대구,D,392,32
2024-02-19,광주,B,429,138
2024-02-19,부산,D,257,190
2024-02-20,광주,D,684,76
2024-02-20,광주,D,273,10
2024-02-21,인천,B,857,140
2024-02-21,대구,B,389,110
2024-02-22,인천,B,411,116
2024-02-23,서울,D,283,128
2024-02-24,인천,C,861,129
2024-02-24,부산,D,188,100
2024-02-24,서울,D,141,173
2024-02-25,광주,D,294,162
2024-02-25,부산,C,669,116
2024-02-25,광주,C,938,53
2024-02-25,광주,A,598,144
2024-02-26,대구,A,865,13
2024-02-26,서울,C,409,118
2024-02-26,부산,C,735,150
2024-02-26,광주,B,109,28
2024-02-27,대구,C,389,196
2024-02-27,대구,C,416,106
2024-02-28,인천,A,411,71
2024-02-28,인천,B,867,14
2024-03-01,부산,B,111,99
2024-03-01,광주,C,438,100
2024-03-01,대구,C,111,83
2024-03-02,광주,B,683,193
2024-03-02,부산,C,329,63
2024-03-02,인천,C,547,49
2024-03-03,서울,B,825,57
2024-03-03,부산,A,563,145
2024-03-03,대구,A,491,114
2024-03-03,광주,C,703,45
2024-03-04,대구,A,985,148
2024-03-06,부산,B,874,137
2024-03-06,대구,D,404,74
2024-03-06,부산,B,195,55
2024-03-06,대구,A,129,152
2024-03-06,인천,A,498,21
2024-03-07,부산,D,104,66
2024-03-07,대구,C,365,165
2024-03-08,인천,A,751,193
2024-03-08,광주,D,172,74
2024-03-09,광주,D,312,111
2024-03-09,광주,B,769,132
2024-03-09,부산,C,841,11
2024-03-10,부산,B,669,63
2024-03-10,인천,A,390,112
2024-03-10,인천,B,717,119
2024-03-10,인천,B,717,29
2024-03-10,인천,A,206,107
2024-03-11,인천,C,805,142
2024-03-12,광주,C,823,87
2024-03-12,서울,C,322,131
2024-03-12,부산,C,125,125
2024-03-12,인천,B,321,48
2024-03-13,부산,A,718,103
2024-03-13,부산,C,861,163
2024-03-13,서울,C,258,123
2024-03-13,부산,A,522,46
2024-03-13,광주,A,370,120
2024-03-13,광주,C,742,195
2024-03-14,부산,D,267,186
2024-03-14,인천,D,537,105
2024-03-15,부산,C,206,43
2024-03-15,인천,D,487,25
2024-03-15,대구,B,400,93
2024-03-16,부산,D,916,26
2024-03-16,서울,A,723,77
2024-03-17,부산,A,767,128
2024-03-17,광주,D,882,64
2024-03-17,서울,D,183,119
2024-03-17,인천,C,912,173
2024-03-18,인천,B,930,168
2024-03-18,대구,B,553,92
2024-03-18,광주,C,356,98
2024-03-19,부산,D,787,40
2024-03-19,서울,B,122,21
2024-03-19,광주,D,464,30
2024-03-20,부산,A,381,81
2024-03-21,대구,C,703,132
2024-03-21,부산,D,796,140
2024-03-23,인천,A,388,87
2024-03-23,광주,C,405,114
2024-03-23,서울,A,437,16
2024-03-24,부산,C,791,22
2024-03-24,광주,A,294,122
2024-03-24,대구,A,826,52
2024-03-25,광주,D,530,110
2024-03-25,대구,C,400,184
2024-03-25,부산,D,363,59
2024-03-26,부산,A,660,174
2024-03-26,대구,A,608,74
2024-03-26,광주,D,436,132
2024-03-26,광주,C,252,170
2024-03-26,부산,D,145,24
2024-03-26,인천,D,788,74
2024-03-26,인천,D,374,180
2024-03-27,대구,B,130,189
2024-03-28,대구,B,544,195
2024-03-28,인천,B,371,83
2024-03-28,대구,A,890,123
2024-03-28,인천,B,506,68
2024-03-28,서울,D,755,16
2024-03-28,대구,C,692,12
2024-03-29,인천,A,778,197
2024-03-29,인천,C,146,22
2024-03-29,부산,B,632,185
2024-03-29,광주,C,957,69
2024-03-29,서울,A,106,144
2024-03-29,부산,D,469,64
2024-03-30,인천,B,447,172
2024-03-30,인천,D,246,132
2024-03-30,광주,B,422,199
2024-03-30,부산,B,400,152
2024-03-31,광주,B,684,88
2024-04-01,서울,D,414,31
2024-04-02,광주,A,687,164
2024-04-03,부산,C,758,31
2024-04-05,서울,B,827,18
2024-04-06,인천,C,879,100
2024-04-06,서울,D,611,132
2024-04-07,인천,C,987,132
2024-04-07,부산,C,746,103
2024-04-07,인천,D,720,151
2024-04-08,인천,B,238,93
2024-04-08,대구,B,840,63
2024-04-08,인천,C,766,154
2024-04-08,부산,C,803,16
2024-04-08,부산,B,570,58
2024-04-09,광주,D,261,192
2024-04-09,서울,A,154,106
2024-04-09,부산,D,854,30
2024-04-10,대구,D,226,87
2024-04-11,광주,C,345,47
2024-04-11,서울,A,218,194
2024-04-11,대구,B,219,22
2024-04-12,대구,A,686,76
2024-04-12,광주,C,643,101
2024-04-12,부산,B,622,187
2024-04-12,서울,A,325,114
2024-04-13,인천,C,841,27
2024-04-13,부산,C,353,99
2024-04-13,인천,B,989,168
2024-04-13,부산,D,379,44
2024-04-14,광주,D,481,152
2024-04-14,서울,A,732,123
2024-04-15,서울,A,846,121
2024-04-15,인천,C,674,191
2024-04-15,인천,C,835,68
2024-04-15,인천,B,189,43
2024-04-16,광주,A,867,16
2024-04-16,서울,C,976,76
2024-04-17,서울,D,232,153
2024-04-18,부산,C,593,100
2024-04-19,부산,B,161,108
2024-04-19,부산,D,739,97
2024-04-20,대구,B,706,107
2024-04-20,광주,B,572,181
2024-04-20,광주,D,574,149
2024-04-20,서울,A,546,181
2024-04-21,서울,B,634,170
2024-04-21,서울,D,482,104
2024-04-21,인천,A,976,23
2024-04-21,부산,D,134,44
2024-04-21,인천,A,848,105
2024-04-22,서울,D,426,164
2024-04-22,대구,C,261,22
2024-04-22,광주,C,192,197
2024-04-22,부산,C,176,158
2024-04-22,광주,C,587,151
2024-04-23,광주,D,471,116
2024-04-23,서울,A,775,159
2024-04-24,대구,A,795,64
2024-04-24,대구,C,243,81
2024-04-25,인천,A,605,33
2024-04-25,대구,D,684,54
2024-04-25,대구,C,268,21
2024-04-26,부산,A,908,127
2024-04-26,부산,B,665,108
2024-04-26,서울,D,752,57
2024-04-26,인천,A,352,41
2024-04-26,광주,C,669,38
2024-04-26,서울,D,613,57
2024-04-27,대구,C,155,175
2024-04-28,부산,B,905,26
2024-04-28,서울,A,394,86
2024-04-28,서울,D,742,126
2024-04-28,광주,C,385,50
2024-04-28,대구,B,563,132
2024-04-29,광주,B,840,28
2024-04-30,인천,D,279,13
2024-04-30,광주,B,376,15
2024-04-30,부산,A,215,195
2024-04-30,광주,A,171,66
2024-05-01,광주,D,171,139
2024-05-01,인천,C,598,74
2024-05-01,대구,D,708,118
2024-05-01,서울,D,376,158
2024-05-01,인천,B,147,135
2024-05-02,서울,A,489,166
2024-05-02,대구,D,433,29
2024-05-02,부산,B,177,45
2024-05-03,부산,B,528,151
2024-05-03,광주,D,831,157
2024-05-04,부산,D,576,70
2024-05-04,서울,B,106,45
2024-05-05,대구,C,503,30
2024-05-05,부산,B,563,46
2024-05-05,대구,B,639,75
2024-05-06,인천,A,847,115
2024-05-06,광주,B,695,22
2024-05-07,광주,D,837,145
2024-05-07,인천,B,135,184
2024-05-07,부산,A,515,65
2024-05-08,대구,D,472,16
2024-05-08,광주,B,738,106
2024-05-08,대구,B,169,147
2024-05-08,부산,D,604,141
2024-05-09,대구,D,791,105
2024-05-09,광주,B,395,109
2024-05-10,인천,A,129,49
2024-05-10,인천,B,103,174
2024-05-10,광주,D,932,173
2024-05-10,부산,A,325,125
2024-05-11,광주,D,359,115
2024-05-11,대구,C,583,58
2024-05-11,대구,C,988,109
2024-05-11,대구,C,537,167
2024-05-11,대구,D,977,148
2024-05-11,대구,C,202,123
2024-05-12,광주,D,707,156
2024-05-12,대구,A,526,92
2024-05-13,인천,C,788,123
2024-05-13,광주,C,611,173
2024-05-14,광주,C,919,191
2024-05-14,대구,C,470,42
2024-05-15,인천,C,600,57
2024-05-15,부산,C,142,15
2024-05-15,광주,D,155,64
2024-05-17,대구,B,881,78
2024-05-17,광주,C,805,118
2024-05-17,서울,C,807,114
2024-05-18,인천,B,186,65
2024-05-18,서울,C,178,114
2024-05-19,광주,C,413,168
2024-05-19,서울,C,751,130
2024-05-19,부산,B,236,67
2024-05-20,부산,A,474,64
2024-05-20,인천,C,990,198
2024-05-20,광주,C,134,43
2024-05-20,서울,A,416,163
2024-05-21,인천,A,230,54
2024-05-22,서울,D,780,88
2024-05-22,광주,B,766,11
2024-05-22,서울,D,637,42
2024-05-23,서울,B,617,150
2024-05-23,대구,B,985,196
2024-05-24,인천,B,407,19
2024-05-24,대구,D,234,56
2024-05-25,부산,B,352,70
2024-05-26,광주,A,343,95
2024-05-26,인천,D,142,91
2024-05-27,부산,A,328,131
2024-05-27,부산,A,941,159
2024-05-28,서울,C,788,20
2024-05-28,부산,B,575,169
2024-05-29,광주,D,426,28
2024-05-29,서울,B,804,123
2024-05-31,인천,D,809,110
2024-05-31,인천,C,564,154
2024-06-01,대구,B,520,67
2024-06-03,대구,D,232,107
2024-06-03,대구,D,443,115
2024-06-04,광주,D,659,18
2024-06-04,대구,D,864,29
2024-06-04,인천,C,956,158
2024-06-04,대구,A,701,12
2024-06-04,인천,C,280,44
2024-06-04,인천,D,637,99
2024-06-04,부산,D,669,187
2024-06-05,대구,B,509,117
2024-06-05,부산,C,311,150
2024-06-06,광주,B,610,79
2024-06-06,대구,B,715,21
2024-06-07,대구,B,836,130
2024-06-07,인천,B,189,58
2024-06-07,광주,A,653,90
2024-06-07,인천,B,757,126
2024-06-08,인천,A,888,72
2024-06-08,부산,B,198,90
2024-06-08,대구,C,753,187
2024-06-09,인천,D,526,138
2024-06-09,광주,A,158,122
2024-06-09,광주,D,510,70
2024-06-11,광주,D,521,182
2024-06-12,대구,A,705,62
2024-06-13,광주,D,881,96
2024-06-13,서울,B,157,158
2024-06-14,인천,B,363,163
2024-06-14,서울,C,321,81
2024-06-15,서울,D,597,113
2024-06-15,인천,A,252,76
2024-06-16,인천,B,860,107
2024-06-16,광주,A,943,151
2024-06-16,대구,A,756,112
2024-06-17,부산,A,256,24
2024-06-17,인천,B,336,113
2024-06-17,인천,D,328,40
2024-06-17,대구,B,541,41
2024-06-17,인천,A,272,161
2024-06-18,부산,D,279,130
2024-06-19,대구,A,646,129
2024-06-19,인천,C,478,14
2024-06-20,인천,B,772,145
2024-06-21,인천,C,753,137
2024-06-21,대구,A,896,89
2024-06-21,서울,C,185,27
2024-06-22,부산,C,321,116
2024-06-22,서울,D,720,33
2024-06-22,서울,D,162,91
2024-06-23,대구,A,973,89
2024-06-23,서울,C,773,26
2024-06-23,대구,C,176,11
2024-06-23,서울,D,793,197
2024-06-23,광주,D,863,81
2024-06-24,대구,A,969,120
2024-06-24,부산,A,644,49
2024-06-24,인천,A,643,17
2024-06-25,광주,B,953,162
2024-06-25,인천,D,562,88
2024-06-26,서울,B,486,56
2024-06-26,서울,A,715,67
2024-06-26,인천,C,686,22
2024-06-27,대구,D,730,31
2024-06-27,광주,C,293,170
2024-06-28,대구,A,409,126
2024-06-29,서울,C,478,71
2024-06-29,인천,B,754,27
2024-06-30,광주,B,811,135
2024-06-30,인천,A,126,136
2024-06-30,대구,A,476,107
2024-06-30,서울,C,795,68
2024-06-30,부산,D,401,139
2024-07-01,광주,C,808,78
2024-07-01,인천,C,104,43
2024-07-01,서울,A,544,74
2024-07-01,광주,B,181,42
2024-07-01,인천,A,438,111
2024-07-01,부산,B,460,138
2024-07-01,부산,A,532,99
2024-07-02,서울,C,203,37
2024-07-02,서울,C,627,18
2024-07-02,부산,B,422,70
2024-07-02,서울,B,940,186
2024-07-02,광주,C,373,94
2024-07-03,부산,A,364,138
2024-07-03,광주,B,734,94
2024-07-03,서울,D,152,157
2024-07-03,인천,D,380,187
2024-07-04,광주,A,704,21
2024-07-04,부산,B,774,46
2024-07-04,광주,A,562,91
2024-07-05,대구,A,114,96
2024-07-05,대구,D,920,61
2024-07-06,인천,B,773,190
2024-07-06,인천,D,149,178
2024-07-07,부산,B,353,140
2024-07-07,광주,C,523,151
2024-07-07,인천,D,275,39
2024-07-08,부산,C,471,91
2024-07-08,부산,D,657,86
2024-07-08,광주,C,722,65
2024-07-09,서울,A,135,165
2024-07-10,서울,A,114,80
2024-07-11,광주,D,992,148
2024-07-11,부산,D,379,93
2024-07-12,대구,C,812,102
2024-07-12,부산,C,836,108
2024-07-13,서울,C,798,154
2024-07-13,인천,C,777,104
2024-07-16,서울,B,543,25
2024-07-16,대구,A,450,19
2024-07-17,대구,D,543,169
2024-07-17,대구,A,920,113
2024-07-17,부산,A,849,139
2024-07-17,대구,C,413,70
2024-07-17,대구,C,174,34
2024-07-17,부산,B,396,153
2024-07-18,대구,D,644,24
2024-07-18,광주,B,306,199
2024-07-18,대구,B,943,195
2024-07-19,인천,A,856,144
2024-07-19,인천,C,737,190
2024-07-19,광주,D,671,182
2024-07-19,부산,A,107,40
2024-07-20,부산,C,878,132
2024-07-20,인천,D,731,26
2024-07-20,광주,B,897,185
2024-07-20,부산,C,565,69
2024-07-21,인천,A,646,88
2024-07-21,서울,D,416,87
2024-07-21,인천,C,881,40
2024-07-22,부산,D,744,65
2024-07-23,서울,C,858,139
2024-07-23,광주,C,386,16
2024-07-23,광주,D,112,143
2024-07-24,부산,B,742,168
2024-07-24,대구,B,304,144
2024-07-24,인천,C,829,15
2024-07-24,인천,D,675,145
2024-07-24,인천,B,610,105
2024-07-24,광주,D,755,185
2024-07-25,인천,B,192,48
2024-07-25,부산,B,516,51
2024-07-25,광주,D,282,189
2024-07-26,부산,B,354,12
2024-07-26,서울,B,517,87
2024-07-26,대구,C,998,76
2024-07-26,부산,C,809,86
2024-07-27,부산,C,135,27
2024-07-27,인천,C,522,18
2024-07-27,서울,B,799,156
2024-07-28,대구,C,470,90
2024-07-29,인천,B,694,55
2024-07-29,인천,B,333,180
2024-07-29,인천,D,685,80
2024-07-29,부산,A,350,52
2024-07-29,인천,B,278,31
2024-07-30,광주,D,512,140
2024-07-31,부산,A,669,50
2024-07-31,대구,A,890,121
2024-07-31,광주,A,998,160
2024-07-31,부산,D,406,102
2024-08-01,인천,A,154,143
2024-08-01,인천,A,383,184
2024-08-02,서울,A,243,196
2024-08-02,서울,C,802,33
2024-08-02,대구,B,419,26
2024-08-02,대구,B,716,14
2024-08-02,대구,C,698,73
2024-08-03,인천,C,459,52
2024-08-03,부산,C,501,156
2024-08-03,부산,D,950,109
2024-08-03,광주,B,628,159
2024-08-04,부산,D,566,86
2024-08-04,부산,A,934,135
2024-08-04,부산,A,585,73
2024-08-04,부산,A,353,55
2024-08-04,인천,D,861,38
2024-08-05,부산,D,755,173
2024-08-05,인천,C,956,124
2024-08-05,서울,D,949,107
2024-08-07,인천,A,104,128
2024-08-07,인천,A,518,134
2024-08-08,광주,D,656,87
2024-08-08,부산,A,683,156
2024-08-09,인천,A,619,27
2024-08-09,대구,D,424,98
2024-08-10,광주,A,524,164
2024-08-10,부산,C,921,82
2024-08-10,부산,A,309,195
2024-08-11,광주,B,751,81
2024-08-11,서울,B,875,45
2024-08-11,광주,A,137,95
2024-08-13,부산,C,579,136
2024-08-13,인천,A,863,167
2024-08-13,인천,A,920,41
2024-08-13,인천,C,128,186
2024-08-13,서울,D,620,124
2024-08-14,인천,A,245,158
2024-08-15,광주,A,345,18
2024-08-15,서울,A,965,186
2024-08-15,대구,A,181,25
2024-08-16,광주,B,308,67
2024-08-16,인천,D,896,109
2024-08-16,부산,B,512,69
2024-08-17,인천,B,798,134
2024-08-17,부산,C,355,137
2024-08-17,인천,C,905,47
2024-08-18,부산,D,591,109
2024-08-18,인천,A,226,61
2024-08-19,대구,C,682,110
2024-08-19,인천,C,613,164
2024-08-20,부산,B,146,174
2024-08-20,대구,D,216,149
2024-08-20,대구,C,208,57
2024-08-20,인천,D,625,112
2024-08-20,광주,C,510,76
2024-08-21,서울,B,681,128
2024-08-21,인천,C,560,71
2024-08-22,서울,B,926,139
2024-08-22,서울,D,951,90
2024-08-23,광주,A,263,53
2024-08-25,인천,A,618,15
2024-08-25,대구,B,864,66
2024-08-25,광주,B,918,83
2024-08-25,서울,A,638,131
2024-08-26,서울,B,852,15
2024-08-26,인천,B,654,46
2024-08-26,서울,A,326,137
2024-08-26,인천,D,176,28
2024-08-26,인천,D,919,153
2024-08-26,인천,A,504,17
2024-08-27,부산,B,396,186
2024-08-27,서울,A,808,67
2024-08-27,인천,D,567,171
2024-08-28,서울,A,968,158
2024-08-28,대구,C,957,153
2024-08-29,인천,A,863,142
2024-08-30,서울,D,452,90
2024-08-30,인천,B,271,49
2024-08-30,인천,A,993,183
2024-08-31,부산,D,245,29
2024-08-31,인천,C,571,171
2024-08-31,대구,D,486,87
2024-08-31,광주,B,747,189
2024-09-01,부산,D,814,132
2024-09-02,서울,A,857,155
2024-09-02,서울,A,172,136
2024-09-02,서울,B,975,85
2024-09-02,대구,C,453,70
2024-09-03,부산,B,393,140
2024-09-04,서울,B,411,166
2024-09-04,부산,D,790,174
2024-09-04,광주,C,806,65
2024-09-05,서울,D,936,37
2024-09-05,대구,D,204,36
2024-09-05,서울,D,149,23
2024-09-06,광주,C,455,118
2024-09-06,대구,B,762,120
2024-09-06,대구,D,506,75
2024-09-06,인천,B,531,106
2024-09-06,인천,A,145,73
2024-09-07,광주,A,234,19
2024-09-07,광주,C,829,119
2024-09-07,대구,A,873,34
2024-09-08,서울,B,758,47
2024-09-08,인천,C,701,96
2024-09-08,대구,C,512,99
2024-09-08,부산,D,456,100
2024-09-08,서울,A,489,11
2024-09-08,부산,C,116,72
2024-09-08,서울,D,599,151
2024-09-08,부산,C,941,139
2024-09-08,인천,D,144,13
2024-09-09,인천,B,927,39
2024-09-09,대구,D,445,91
2024-09-09,인천,D,398,111
2024-09-10,인천,C,458,144
2024-09-11,서울,D,207,164
2024-09-11,인천,A,456,119
2024-09-11,서울,B,902,56
2024-09-11,인천,A,708,76
2024-09-12,인천,C,589,123
2024-09-12,부산,A,828,185
2024-09-12,대구,C,816,36
2024-09-12,서울,D,184,99
2024-09-13,광주,B,639,129
2024-09-14,광주,B,675,108
2024-09-15,대구,D,525,86
2024-09-15,대구,C,194,120
2024-09-16,부산,C,169,139
2024-09-16,부산,A,741,96
2024-09-16,광주,D,433,110
2024-09-16,대구,D,968,63
2024-09-16,인천,A,281,125
2024-09-18,대구,C,421,137
2024-09-18,서울,A,799,45
2024-09-18,부산,C,695,196
2024-09-18,대구,A,814,163
2024-09-19,광주,A,787,187
2024-09-19,부산,A,912,154
2024-09-19,부산,D,123,61
2024-09-20,인천,A,183,59
2024-09-20,인천,B,936,106
2024-09-20,부산,A,193,51
2024-09-20,서울,C,398,141
2024-09-20,서울,C,663,52
2024-09-21,인천,A,172,147
2024-09-21,광주,C,213,50
2024-09-21,광주,D,142,158
2024-09-22,인천,A,862,60
2024-09-22,광주,D,886,133
2024-09-22,서울,C,732,109
2024-09-22,대구,C,661,109
2024-09-22,서울,B,524,62
2024-09-22,서울,D,283,29
2024-09-22,인천,D,139,46
2024-09-22,서울,A,831,42
2024-09-22,인천,A,422,76
2024-09-22,부산,A,964,15
2024-09-22,서울,B,422,11
2024-09-23,대구,C,225,101
2024-09-23,인천,D,718,191
2024-09-24,인천,A,769,39
2024-09-24,부산,A,846,152
2024-09-25,대구,C,915,62
2024-09-25,부산,D,829,57
2024-09-25,광주,D,833,177
2024-09-25,서울,A,317,53
2024-09-25,부산,B,698,146
2024-09-26,광주,B,781,46
2024-09-27,광주,A,494,164
2024-09-27,서울,A,279,146
2024-09-27,인천,D,100,132
2024-09-28,인천,C,969,154
2024-09-29,대구,C,257,176
2024-09-30,서울,C,753,164
2024-09-30,대구,B,759,115
2024-09-30,인천,D,719,168
2024-09-30,서울,D,919,25
2024-09-30,광주,C,684,160
2024-10-01,광주,B,108,30
2024-10-02,대구,B,685,53
2024-10-02,광주,A,568,64
2024-10-04,부산,A,590,42
2024-10-04,광주,D,891,37
2024-10-04,광주,C,162,194
2024-10-04,인천,A,162,16
2024-10-04,서울,B,834,136
2024-10-07,대구,C,268,173
2024-10-07,서울,D,490,25
2024-10-08,부산,C,421,18
2024-10-09,서울,D,524,137
2024-10-09,서울,C,426,31
2024-10-10,광주,A,668,21
2024-10-11,서울,D,832,175
2024-10-11,광주,D,816,70
2024-10-11,인천,C,492,64
2024-10-11,대구,D,996,73
2024-10-11,서울,D,671,125
2024-10-12,광주,D,237,140
2024-10-12,광주,A,368,60
2024-10-13,광주,D,864,32
2024-10-13,부산,A,503,182
2024-10-13,서울,B,174,14
2024-10-13,서울,C,830,106
2024-10-14,부산,B,785,80
2024-10-15,부산,C,817,109
2024-10-15,대구,C,589,124
2024-10-15,서울,D,990,189
2024-10-16,서울,D,945,171
2024-10-16,인천,C,610,179
2024-10-16,대구,A,393,142
2024-10-16,대구,B,941,64
2024-10-16,대구,A,176,121
2024-10-16,부산,A,224,128
2024-10-17,인천,C,134,15
2024-10-17,광주,C,355,136
2024-10-17,부산,D,576,197
2024-10-18,인천,D,242,139
2024-10-18,대구,B,674,74
2024-10-18,서울,D,229,141
2024-10-19,대구,C,160,197
2024-10-20,부산,C,936,163
2024-10-21,대구,B,115,24
2024-10-21,대구,D,356,41
2024-10-21,대구,A,865,155
2024-10-21,대구,B,382,155
2024-10-21,서울,B,635,34
2024-10-22,인천,C,629,103
2024-10-23,부산,D,180,183
2024-10-23,인천,C,255,68
2024-10-23,서울,D,593,25
2024-10-23,부산,B,424,122
2024-10-23,광주,C,586,88
2024-10-24,인천,D,681,68
2024-10-24,대구,C,749,78
2024-10-24,인천,C,889,127
2024-10-24,서울,C,731,97
2024-10-24,부산,A,731,153
2024-10-24,광주,D,386,42
2024-10-25,광주,C,201,80
2024-10-25,광주,B,802,126
2024-10-25,광주,D,245,99
2024-10-25,대구,C,798,33
2024-10-26,서울,B,711,79
2024-10-26,광주,C,942,144
2024-10-26,부산,A,343,132
2024-10-28,대구,D,278,171
2024-10-28,서울,D,527,163
2024-10-28,부산,D,935,62
2024-10-28,인천,D,595,28
2024-10-28,광주,C,754,147
2024-10-28,광주,D,167,115
2024-10-29,대구,C,348,143
2024-10-29,부산,D,415,59
2024-10-29,광주,C,774,198
2024-10-30,광주,B,634,126
2024-10-30,인천,B,784,89
2024-10-30,부산,A,276,34
2024-10-31,부산,C,653,182
2024-10-31,부산,B,475,197
2024-10-31,대구,B,506,136
2024-11-01,부산,D,923,20
2024-11-01,서울,A,869,90
2024-11-01,인천,D,684,84
2024-11-01,인천,C,579,195
2024-11-01,부산,A,703,128
2024-11-02,광주,C,100,77
2024-11-03,대구,C,936,91
2024-11-03,부산,A,937,69
2024-11-03,광주,A,709,53
2024-11-04,광주,A,453,36
2024-11-05,인천,B,603,86
2024-11-06,광주,B,345,64
2024-11-06,부산,A,663,112
2024-11-06,부산,D,808,141
2024-11-07,부산,A,671,138
2024-11-08,광주,A,123,33
2024-11-08,광주,B,309,174
2024-11-08,서울,B,496,85
2024-11-08,대구,B,129,55
2024-11-09,대구,C,664,69
2024-11-09,대구,D,615,157
2024-11-09,서울,B,798,19
2024-11-10,광주,B,121,198
2024-11-11,인천,B,408,187
2024-11-11,광주,B,864,57
2024-11-11,부산,D,819,164
2024-11-12,인천,D,318,100
2024-11-12,서울,B,951,172
2024-11-12,광주,D,884,194
2024-11-12,서울,A,649,64
2024-11-12,광주,B,904,178
2024-11-12,인천,D,784,31
2024-11-12,광주,C,361,115
2024-11-12,부산,C,239,79
2024-11-13,부산,A,242,27
2024-11-13,부산,D,400,119
2024-11-13,서울,B,389,28
2024-11-13,광주,B,788,15
2024-11-14,대구,D,625,183
2024-11-14,서울,A,449,50
2024-11-15,광주,A,200,29
